# k	cb	gl	xy
349	0.212798	2.15289	0.929941
350	0.156452	0.95841	0.569773
351	0.259641	2.49762	1.09484
352	0.158058	1.13415	0.585385
353	0.137664	1.10816	0.614206
354	0.126787	1.15839	0.581121
355	0.154287	1.04993	0.62628
356	0.123326	1.08696	0.579154
357	0.140444	1.04633	0.566371
358	0.134645	1.10947	0.557526
359	0.136672	1.3112	0.623541
360	0.13555	1.07453	0.568549
361	0.146231	1.12829	0.579225
362	0.130024	1.0896	0.559939
363	0.138329	1.31172	0.597448
364	0.227241	2.17107	1.00051
365	0.131377	1.48201	0.831349
366	0.133376	0.972599	0.500016
367	0.218728	2.14918	0.98372
368	0.146527	1.51773	0.753186
369	0.274403	2.64491	1.14595
370	0.176587	1.48964	0.592531
371	0.144512	1.13416	0.627991
372	0.135862	1.28241	0.600287
373	0.132419	1.21595	0.534251
374	0.134812	1.22748	0.524003
375	0.142368	1.17611	0.610317
376	0.155826	1.16603	0.633591
377	0.136819	1.12533	0.581341
378	0.13163	1.06425	0.545972
379	0.146846	1.17255	0.595863
380	0.135479	1.08067	0.539812
381	0.152681	1.02077	0.497227
382	0.214005	2.07725	0.994617
383	0.148073	1.62463	0.838591
384	0.145463	0.937729	0.496853
385	0.216544	2.17659	0.998886
386	0.148475	1.52811	0.800461
387	0.278293	2.68005	1.15987
388	0.168548	1.14386	0.571856
389	0.142458	1.15495	0.562348
390	0.154188	1.11239	0.541185
391	0.153042	1.0524	0.586541
392	0.15032	1.19328	0.520818
393	0.147933	0.99656	0.498769
394	0.169004	1.26731	0.578799
395	0.133988	1.1591	0.615289
396	0.131394	0.952631	0.525454
397	0.142062	1.09481	0.651329
398	0.162204	1.00272	0.530939
399	0.139035	1.10724	0.541195
400	0.208336	2.16307	1.00917
401	0.132784	1.73228	0.871533
402	0.130074	0.96052	0.514244
403	0.244623	2.13395	0.982543
404	0.151401	1.68464	0.840094
405	0.27978	2.69375	1.16402
406	0.172188	1.23055	0.625112
407	0.145958	1.03321	0.510212
408	0.14909	1.25784	0.566072
409	0.129612	1.19265	0.529911
410	0.153794	0.995546	0.540853
411	0.149519	1.09453	0.519934
412	0.1385	1.29867	0.608642
413	0.158414	1.24216	0.601156
414	0.132274	0.962909	0.500178
415	0.152421	1.09392	0.565587
416	0.12598	1.05399	0.546786
417	0.170824	1.10034	0.524248
418	0.258352	2.09843	1.00731
419	0.152804	1.59441	0.756683
420	0.141049	0.977888	0.51755
421	0.227527	2.16901	0.999745
422	0.175422	1.9846	0.896116
