# k	cb	gl	xy
413	0.0959501	0.0709402	0.0719258
414	0.0801175	0.0549919	0.0598442
415	0.0923206	0.0624738	0.0676702
416	0.0763051	0.0601934	0.0654207
417	0.103467	0.0628408	0.0627241
418	0.156482	0.119842	0.12052
419	0.0925521	0.0910574	0.090534
420	0.0854326	0.0558474	0.0619227
421	0.137812	0.123872	0.119615
422	0.106252	0.113341	0.107217
423	0.169762	0.15411	0.139444
424	0.110517	0.0776529	0.0894354
425	0.0921598	0.0617057	0.0654673
426	0.080647	0.0771075	0.071839
427	0.0955866	0.0646557	0.0760053
428	0.0932836	0.0662314	0.0690743
429	0.101628	0.0639604	0.0586631
430	0.0854105	0.0733473	0.0677966
431	0.0953526	0.0650565	0.0745947
432	0.0849551	0.0599952	0.0662633
433	0.0847507	0.0663145	0.0695479
434	0.082448	0.0583512	0.0624049
435	0.0804804	0.0579441	0.0592303
436	0.135972	0.127054	0.123322
437	0.090164	0.0650305	0.072528
438	0.0820443	0.0662778	0.0753002
439	0.125509	0.135421	0.127655
440	0.0761469	0.0548356	0.0641055
441	0.086656	0.072819	0.0800131
442	0.078607	0.0729292	0.068847
443	0.0908052	0.0606529	0.0667493
444	0.086318	0.0583838	0.0635382
445	0.087496	0.0658816	0.0658939
446	0.0801748	0.0585898	0.0647435
447	0.0804776	0.0575855	0.0599309
448	0.088305	0.0729594	0.0642546
449	0.0811114	0.0590475	0.069731
450	0.0785085	0.0626242	0.0658577
451	0.0905281	0.0802498	0.0696537
452	0.092072	0.066064	0.0669464
453	0.0795998	0.0563112	0.0645634
454	0.129648	0.12272	0.121831
455	0.0893636	0.0790794	0.113353
456	0.0809958	0.0568597	0.0646905
457	0.131625	0.11865	0.119247
458	0.0794938	0.0476626	0.0574894
459	0.0927731	0.0702604	0.0717977
460	0.0947507	0.091203	0.0810932
461	0.0893682	0.0725737	0.0763152
462	0.0819248	0.0800287	0.0738352
463	0.0984642	0.0794726	0.0779293
464	0.0832308	0.0700913	0.0740243
465	0.0766044	0.0569876	0.0644266
466	0.092217	0.0823238	0.0862444
467	0.0784086	0.073421	0.0791577
468	0.0779827	0.061956	0.0672887
469	0.0839656	0.0713891	0.073739
470	0.082289	0.0644947	0.0661791
471	0.0842709	0.0570567	0.0623379
