# k	cb	gl	xy
6.600000000000000000e+01	3.538093500304515526e-01	3.226109263862129151e+00	1.352813908478152083e+00
6.700000000000000000e+01	1.478989591838641982e-01	1.500171242701261676e+00	7.518917696668985240e-01
6.800000000000000000e+01	2.844452518793348372e-01	2.774981749198364600e+00	1.213124109675105311e+00
6.900000000000000000e+01	3.379387640385531077e-01	3.193428078495953226e+00	1.333900896212987464e+00
7.000000000000000000e+01	1.479028097924657281e-01	1.500288703345266761e+00	7.519173499495429569e-01
7.100000000000000000e+01	2.500503669968048293e-01	2.650327556499283865e+00	1.161069934703695683e+00
7.200000000000000000e+01	2.396308799571298942e-01	2.523116000997392305e+00	1.028418666688685867e+00
7.300000000000000000e+01	1.548037879784284199e-01	1.736054551089661002e+00	8.656831005662736223e-01
7.400000000000000000e+01	2.226252525803846527e-01	2.474549015568564769e+00	1.097637458391854448e+00
7.500000000000000000e+01	2.334160708272724760e-01	2.495568114683829997e+00	1.116326623674377183e+00
7.600000000000000000e+01	2.742379303395132140e-01	2.775851664478292236e+00	1.197842786114764024e+00
7.700000000000000000e+01	2.156433414743974541e-01	2.439406955258669463e+00	1.084892377679860243e+00
7.800000000000000000e+01	2.107939268258524623e-01	2.208217945810992511e+00	1.014590020478658428e+00
7.900000000000000000e+01	2.084685239423701431e-01	2.428038502784038322e+00	1.097730891963492716e+00
8.000000000000000000e+01	1.238418745383856739e-01	1.304126408421994565e+00	7.597489753989338235e-01
8.100000000000000000e+01	2.156433414743974541e-01	2.439406955258669463e+00	1.084892377679860243e+00
8.200000000000000000e+01	2.107939268258524623e-01	2.208217945810992511e+00	1.014590020478658650e+00
8.300000000000000000e+01	2.084685239423701431e-01	2.428038502784037878e+00	1.097730891963492716e+00
8.400000000000000000e+01	2.857029944219824369e-01	2.749093982760801858e+00	1.209983686740210063e+00
8.500000000000000000e+01	3.534389820027070694e-01	3.180065258417619667e+00	1.357834107203081953e+00
8.600000000000000000e+01	1.505070810993111574e-01	1.530431041417221305e+00	7.618680610205549320e-01
8.700000000000000000e+01	2.849661366352631564e-01	2.747282101512415586e+00	1.209021896035820554e+00
8.800000000000000000e+01	3.369382942530701475e-01	3.062185452696402077e+00	1.325973379100896077e+00
8.900000000000000000e+01	1.504950844876173088e-01	1.530463206103951590e+00	7.618777924595366846e-01
9.000000000000000000e+01	2.513983034435778863e-01	2.629382133012116984e+00	1.153724154366591259e+00
9.100000000000000000e+01	2.389744602899082360e-01	2.493597321414147583e+00	1.005349425451812273e+00
9.200000000000000000e+01	1.558496482091518975e-01	1.744195908985060495e+00	8.610930342419098604e-01
9.300000000000000000e+01	2.235403682702644945e-01	2.470824323651139576e+00	1.088304889088588912e+00
9.400000000000000000e+01	2.329848306354408982e-01	2.493497196899677970e+00	1.103605404076699825e+00
