Time	cb	gl	xy
3.210000000000000000e+02	1.247868365611583652e+00	1.416274258168791533e+01	6.897223556452906301e+00
3.240000000000000000e+02	1.269822004423903916e+00	1.424694338535852722e+01	7.091051538001718946e+00
3.270000000000000000e+02	1.332157525898337358e+00	1.385481307355017755e+01	7.007011842043915806e+00
3.300000000000000000e+02	1.310997492103106232e+00	1.350422949173220921e+01	6.755778758271761220e+00
3.330000000000000000e+02	1.284695092440864439e+00	1.514834637561740571e+01	7.335594346081134809e+00
3.360000000000000000e+02	1.296538316979948258e+00	1.483391735967323122e+01	7.427708004196786007e+00
3.390000000000000000e+02	1.233611625682239588e+00	1.417766711647185041e+01	7.030701894012593378e+00
3.420000000000000000e+02	1.329433461208741729e+00	1.362575450143416411e+01	6.614148637520467666e+00
3.450000000000000000e+02	1.252338880706338475e+00	1.407285446919969729e+01	7.023361322729688716e+00
3.480000000000000000e+02	1.294354918448968217e+00	1.473343658793664446e+01	7.264493526824414182e+00
3.510000000000000000e+02	1.363284734005239640e+00	1.407131218557181640e+01	6.951567508887322333e+00
3.540000000000000000e+02	1.254786573386031501e+00	1.428349809703708928e+01	7.026016640344639796e+00
3.570000000000000000e+02	1.385554093236639694e+00	1.557888282599035890e+01	7.554790749856068466e+00
3.600000000000000000e+02	1.346317746422720951e+00	1.495576227086165666e+01	7.506603344715129467e+00
3.630000000000000000e+02	1.305440342516527963e+00	1.372709602892489755e+01	6.832127475249533788e+00
3.660000000000000000e+02	1.278682935761029205e+00	1.249300918530975757e+01	6.331720673338868899e+00
3.690000000000000000e+02	1.329011364468753564e+00	1.348506298984088048e+01	6.735040600088248119e+00
3.720000000000000000e+02	1.268735725431950678e+00	1.455330454032392673e+01	7.330597241691902965e+00
3.750000000000000000e+02	1.283841145324934541e+00	1.366112305319353659e+01	6.784603249761542720e+00
3.780000000000000000e+02	1.296745284822433675e+00	1.399216967006495693e+01	6.703712573063385527e+00
3.810000000000000000e+02	1.297718850672540780e+00	1.369258580820695848e+01	6.709717652631342233e+00
3.840000000000000000e+02	1.251019531627564074e+00	1.368977710102680412e+01	6.841523944777598842e+00
3.870000000000000000e+02	1.275837758301229474e+00	1.316265470962998663e+01	6.562065807030955433e+00
3.900000000000000000e+02	1.317660380541098020e+00	1.454999565597639943e+01	7.191673096184185709e+00
3.930000000000000000e+02	1.247200499299720322e+00	1.528486638658890584e+01	7.615793870998340154e+00
3.960000000000000000e+02	1.320990726775357116e+00	1.306933678968395363e+01	6.485328006886331487e+00
3.990000000000000000e+02	1.272417226937848866e+00	1.341227198421625566e+01	6.722842850453509378e+00
4.020000000000000000e+02	1.314728382492759140e+00	1.411446379027154663e+01	7.156261552553614180e+00
4.050000000000000000e+02	1.307444011231080117e+00	1.300326936257231480e+01	6.411046494890946690e+00
4.080000000000000000e+02	1.276501382525241812e+00	1.330058760529920292e+01	6.606050401727138421e+00
4.110000000000000000e+02	1.317471988716557574e+00	1.452232187506081651e+01	7.253524593941446774e+00
4.140000000000000000e+02	1.328647721243433777e+00	1.524825633426381621e+01	7.488327106958245771e+00
4.170000000000000000e+02	1.322189693552892731e+00	1.465545088379277239e+01	7.499030906035447863e+00
4.200000000000000000e+02	1.322997263542735169e+00	1.561638173357865078e+01	7.784971218047581409e+00
4.230000000000000000e+02	1.250945762944293493e+00	1.444879504889892630e+01	7.173465737654160179e+00
4.260000000000000000e+02	1.317426723720908965e+00	1.426928690195761185e+01	6.914103729996837089e+00
4.290000000000000000e+02	1.245609372990815533e+00	1.378966411571971662e+01	7.099585604757700175e+00
4.320000000000000000e+02	1.317227075688527815e+00	1.470294999888749743e+01	7.351840159980733702e+00
4.350000000000000000e+02	1.245007594222047542e+00	1.434770532604052029e+01	7.046824677554967664e+00
4.380000000000000000e+02	1.328859401703918364e+00	1.424602028989036384e+01	7.111298031707920408e+00
4.410000000000000000e+02	1.301175149185684443e+00	1.315306817864682465e+01	6.632949118274867217e+00
4.440000000000000000e+02	1.282440267614947338e+00	1.410374698568070784e+01	6.866577855426569954e+00
4.470000000000000000e+02	1.260547000414736551e+00	1.451113195713786119e+01	7.245717897465464574e+00
