# Wavelength	Beta
5818	0.41236
5819	0.344992
5820	0.280145
5821	0.205264
5822	0.117454
5823	0.037296
5824	-0.00578788
5825	-0.0052425
5826	-0.010076
5827	-0.108102
5828	-0.352507
5829	-0.715094
5830	-1.11811
5831	-1.48205
5832	-1.75454
5833	-1.90381
5834	-1.92212
5835	-1.83014
5836	-1.66176
5837	-1.43498
5838	-1.1385
5839	-0.755171
5840	-0.306489
5841	0.117044
5842	0.404174
5843	0.51979
5844	0.50674
5845	0.41686
5846	0.276579
5847	0.0969567
5848	-0.107723
5849	-0.318044
5850	-0.514623
5851	-0.677205
5852	-0.772923
5853	-0.739467
5854	-0.501861
5855	-0.0391991
5856	0.554474
5857	1.09347
5858	1.43646
5859	1.57626
5860	1.58035
5861	1.47779
5862	1.25222
5863	0.902305
5864	0.460988
5865	-0.0167558
5866	-0.448115
5867	-0.734847
5868	-0.797823
5869	-0.606661
5870	-0.204261
5871	0.312863
5872	0.867929
5873	1.46332
5874	2.17449
5875	3.05294
5876	4.01017
5877	4.83001
5878	5.33849
5879	5.54418
5880	5.60513
5881	5.69143
5882	5.93409
5883	6.41309
5884	7.10101
5885	7.86331
5886	8.56287
5887	9.08444
5888	9.28595
5889	9.05069
5890	8.4075
5891	7.46146
5892	6.28305
5893	5.01965
5894	3.95187
5895	3.27377
5896	2.89436
5897	2.59705
5898	2.27481
5899	1.95412
5900	1.6844
5901	1.50633
5902	1.44819
5903	1.51359
5904	1.64132
5905	1.70998
5906	1.62533
5907	1.40341
5908	1.1547
5909	1.00232
5910	1.00864
5911	1.10792
5912	1.14821
5913	1.03284
5914	0.794383
5915	0.528714
5916	0.307974
5917	0.15971
5918	0.126523
5919	0.266877
5920	0.582967
5921	0.99039
5922	1.37449
5923	1.67151
5924	1.87897
5925	2.02047
5926	2.104
5927	2.09062
5928	1.90391
5929	1.50564
5930	0.96827
5931	0.422276
5932	-0.0529218
5933	-0.432235
5934	-0.688443
5935	-0.788091
5936	-0.735873
5937	-0.597279
5938	-0.457004
5939	-0.366273
5940	-0.335274
5941	-0.35242
5942	-0.38744
5943	-0.409091
5944	-0.41543
5945	-0.433664
5946	-0.486699
5947	-0.565871
5948	-0.644439
5949	-0.699382
5950	-0.714286
5951	-0.670245
5952	-0.552009
5953	-0.367148
5954	-0.15911
5955	0.0149281
5956	0.127795
5957	0.2101
5958	0.316396
5959	0.460585
5960	0.597888
5961	0.663359
5962	0.632152
5963	0.530744
5964	0.392998
5965	0.230783
5966	0.0523389
5967	-0.126501
5968	-0.300608
5969	-0.482165
5970	-0.663345
