# Wavelength	Beta
5208	0.521053
5209	0.556061
5210	0.580577
5211	0.568722
5212	0.453377
5213	0.186666
5214	-0.116378
5215	-0.354088
5216	-0.491749
5217	-0.499127
5218	-0.42952
5219	-0.35434
5220	-0.27973
5221	-0.156765
5222	0.0122729
5223	0.15318
5224	0.23204
5225	0.23233
5226	0.155587
5227	0.0130866
5228	-0.156346
5229	-0.258133
5230	-0.299809
5231	-0.327844
5232	-0.340625
5233	-0.323519
5234	-0.283104
5235	-0.222277
5236	-0.126162
5237	0.0345858
5238	0.269631
5239	0.506233
5240	0.641465
5241	0.622454
5242	0.490595
5243	0.363221
5244	0.281215
5245	0.225281
5246	0.170517
5247	0.0978935
5248	-0.0014439
5249	-0.104064
5250	-0.172948
5251	-0.203452
5252	-0.186357
5253	-0.0915982
5254	0.0307899
5255	0.0746933
5256	0.0367302
5257	-0.0288931
5258	-0.0721688
5259	-0.0721921
5260	-0.039767
5261	0.0169419
5262	0.0849186
5263	0.144032
5264	0.188428
5265	0.213458
5266	0.214651
5267	0.204685
5268	0.1966
5269	0.189091
5270	0.176836
5271	0.160894
5272	0.144337
5273	0.13013
5274	0.120941
5275	0.1166
5276	0.114359
5277	0.111299
5278	0.106866
5279	0.102249
5280	0.0971974
5281	0.0898612
5282	0.0799059
5283	0.0691218
5284	0.0591228
5285	0.0500809
5286	0.0414687
5287	0.0332454
5288	0.0261683
5289	0.0212338
5290	0.0187408
5291	0.0181045
5292	0.0184468
5293	0.0190142
5294	0.0193693
5295	0.0195214
5296	0.0197736
5297	0.0203203
5298	0.0210148
5299	0.0215265
5300	0.0216112
5301	0.0212511
5302	0.0206041
5303	0.0198132
5304	0.0188716
5305	0.0176661
5306	0.0161306
5307	0.0143049
5308	0.0122578
5309	0.0100042
5310	0.00748046
5311	0.00459486
5312	0.00132761
5313	-0.00220004
5314	-0.00571094
5315	-0.00876719
5316	-0.0108953
5317	-0.011939
5318	-0.0122375
5319	-0.0122896
5320	-0.0123857
5321	-0.0126911
5322	-0.0134558
5323	-0.0148135
5324	-0.016455
5325	-0.0179062
5326	-0.0192806
5327	-0.021263
5328	-0.0240764
5329	-0.0270978
5330	-0.0295615
5331	-0.0309908
5332	-0.0310535
5333	-0.0297552
5334	-0.0278056
5335	-0.0261884
5336	-0.025317
5337	-0.0246008
5338	-0.0234747
5339	-0.0225085
5340	-0.0219859
5341	-0.0209639
5342	-0.0190291
5343	-0.0175884
5344	-0.0184316
5345	-0.0214339
5346	-0.0240954
5347	-0.0237837
5348	-0.0204055
5349	-0.0162358
5350	-0.0135609
5351	-0.0131754
5352	-0.0137667
5353	-0.0130486
5354	-0.0110288
5355	-0.00985262
5356	-0.0094268
5357	-0.00641532
5358	0.00108413
5359	0.0110825
5360	0.0222277
5361	0.0375603
5362	0.0607311
5363	0.0892721
5364	0.116367
5365	0.138543
5366	0.158241
5367	0.180385
5368	0.207965
5369	0.241661
5370	0.281471
5371	0.321575
5372	0.343954
5373	0.332855
5374	0.298234
5375	0.262375
5376	0.240693
5377	0.243579
5378	0.27706
5379	0.335088
5380	0.381655
5381	0.352657
5382	0.26479
5383	0.20021
5384	0.183746
5385	0.222168
5386	0.334221
5387	0.541166
5388	0.766755
5389	0.699756
5390	0.417185
5391	0.229271
5392	0.142346
5393	0.104594
5394	0.0891467
5395	0.0860701
5396	0.0974625
5397	0.137396
5398	0.165661
5399	0.126478
5400	0.0900603
5401	0.0721757
5402	0.0665858
5403	0.0686162
5404	0.075711
5405	0.0863966
5406	0.0967316
5407	0.0906773
5408	0.0565352
5409	0.0282173
5410	0.0138539
5411	0.00719336
5412	0.00595452
5413	0.00930406
5414	0.0167991
5415	0.0293036
5416	0.047904
5417	0.0596217
5418	0.0533469
5419	0.0433846
5420	0.0346246
5421	0.0284804
5422	0.0298321
5423	0.0467388
5424	0.0929523
5425	0.190866
5426	0.283119
5427	0.257407
5428	0.227525
5429	0.23965
5430	0.286973
5431	0.380337
5432	0.588809
5433	1.17109
5434	3.06476
5435	6.91101
5436	6.55127
5437	4.99483
5438	4.66569
5439	3.32121
5440	0.360361
5441	-0.148133
5442	-0.20124
5443	-0.19217
5444	-0.169201
5445	-0.153791
5446	-0.162303
5447	-0.194241
5448	-0.231737
5449	-0.240784
5450	-0.203879
5451	-0.160154
5452	-0.136763
5453	-0.127861
5454	-0.124675
5455	-0.122065
5456	-0.108427
5457	-0.0375588
5458	0.354992
5459	1.39391
5460	1.22465
5461	0.931115
5462	0.895078
5463	1.25731
5464	2.52192
5465	4.25312
5466	3.22817
5467	1.69819
5468	0.805378
5469	0.308184
5470	-0.0213862
5471	-0.167081
5472	-0.188196
5473	-0.200956
5474	-0.22072
5475	-0.237834
5476	-0.24903
5477	-0.233336
5478	-0.0297792
5479	0.152255
5480	0.13952
5481	0.0983559
5482	0.063115
5483	0.0400699
5484	0.026078
5485	0.00544175
5486	-0.0617766
5487	-0.233425
5488	-0.32341
5489	-0.252677
5490	-0.188307
5491	-0.142535
5492	-0.104767
5493	-0.0756934
5494	-0.063255
5495	-0.0634022
5496	-0.0366524
5497	0.0298402
5498	0.0769642
5499	0.0804588
5500	0.047566
5501	-0.00734783
5502	-0.0542418
5503	-0.0627318
5504	0.0122274
5505	0.27906
5506	0.846643
5507	1.78998
5508	3.03471
5509	4.28739
5510	5.13188
5511	5.11783
5512	4.44968
5513	3.78079
5514	3.25808
5515	2.74695
5516	2.13602
5517	1.39218
5518	0.657041
5519	0.139696
5520	-0.0955536
5521	-0.0238474
5522	0.462371
5523	1.42029
5524	2.53553
5525	3.19449
